ID;UF;LON;LAT;ANNUAL
523;RS;-523.490;-311.005;4332
524;RS;-522.490;-311.005;4323
525;RS;-521.490;-311.005;4319
526;RS;-520.490;-311.005;4312
527;RS;-519.490;-311.005;4323
528;RS;-518.490;-311.005;4327
529;RS;-517.490;-311.005;4361
530;RS;-516.490;-311.005;4398
531;RS;-515.490;-311.005;4461
532;RS;-514.490;-311.005;4512
533;RS;-513.490;-311.005;4542
534;RS;-512.490;-311.005;4532
535;RS;-511.490;-311.005;4489
536;RS;-510.490;-311.005;4470
537;RS;-509.490;-311.005;4415
538;RS;-508.490;-311.005;4377
539;RS;-507.490;-311.005;4358
540;RS;-560.490;-310.005;4748
541;RS;-559.490;-310.005;4729
542;RS;-558.490;-310.005;4713
543;RS;-557.490;-310.005;4668
544;RS;-556.490;-310.005;4632
545;RS;-554.490;-310.005;4611
546;RS;-553.490;-310.005;4620
547;RS;-552.490;-310.005;4626
548;RS;-551.490;-310.005;4623
549;RS;-550.490;-310.005;4639
550;RS;-549.490;-310.005;4629
551;RS;-548.490;-310.005;4628
552;RS;-547.490;-310.005;4618
553;RS;-546.490;-310.005;4608
554;RS;-545.490;-310.005;4611
555;RS;-544.490;-310.005;4604
556;RS;-543.490;-310.005;4617
557;RS;-542.490;-310.005;4610
558;RS;-541.490;-310.005;4584
559;RS;-540.490;-310.005;4545
560;RS;-539.490;-310.005;4518
561;RS;-538.490;-310.005;4516
562;RS;-537.490;-310.005;4510
563;RS;-536.490;-310.005;4497
564;RS;-535.490;-310.005;4482
565;RS;-534.490;-310.005;4470
566;RS;-533.490;-310.005;4472
567;RS;-532.490;-310.005;4455
568;RS;-531.490;-310.005;4419
569;RS;-530.490;-310.005;4414
570;RS;-529.490;-310.005;4409
571;RS;-528.490;-310.005;4411
572;RS;-527.490;-310.005;4391
573;RS;-526.490;-310.005;4366
574;RS;-525.490;-310.005;4363
575;RS;-524.490;-310.005;4366
576;RS;-523.490;-310.005;4341
577;RS;-522.490;-310.005;4334
578;RS;-521.490;-310.005;4329
579;RS;-520.490;-310.005;4325
580;RS;-519.490;-310.005;4323
581;RS;-518.490;-310.005;4321
582;RS;-517.490;-310.005;4343
583;RS;-516.490;-310.005;4373
584;RS;-515.490;-310.005;4431
585;RS;-514.490;-310.005;4497
586;RS;-513.490;-310.005;4539
587;RS;-512.490;-310.005;4566
588;RS;-511.490;-310.005;4560
589;RS;-510.490;-310.005;4531
590;RS;-509.490;-310.005;4465
591;RS;-508.490;-310.005;4434
592;RS;-507.490;-310.005;4389
593;RS;-506.490;-310.005;4428
594;RS;-560.490;-309.005;4738
595;RS;-559.490;-309.005;4726
596;RS;-558.490;-309.005;4727
597;RS;-557.490;-309.005;4704
598;RS;-556.490;-309.005;4663
599;RS;-555.490;-309.005;4623
600;RS;-554.490;-309.005;4620
601;RS;-553.490;-309.005;4624
602;RS;-552.490;-309.005;4628
603;RS;-551.490;-309.005;4636
604;RS;-550.490;-309.005;4634
605;RS;-549.490;-309.005;4632
606;RS;-548.490;-309.005;4638
607;RS;-547.490;-309.005;4624
608;RS;-546.490;-309.005;4622
609;RS;-545.490;-309.005;4625
610;RS;-544.490;-309.005;4614
611;RS;-543.490;-309.005;4629
612;RS;-542.490;-309.005;4612
613;RS;-541.490;-309.005;4585
614;RS;-540.490;-309.005;4557
615;RS;-539.490;-309.005;4526
616;RS;-538.490;-309.005;4502
617;RS;-537.490;-309.005;4499
618;RS;-536.490;-309.005;4500
619;RS;-535.490;-309.005;4478
620;RS;-534.490;-309.005;4467
621;RS;-533.490;-309.005;4470
622;RS;-532.490;-309.005;4472
623;RS;-531.490;-309.005;4450
624;RS;-530.490;-309.005;4429
625;RS;-529.490;-309.005;4409
